Job Role,Company,Skills
Data Scientist,Airbnb,"Data Visualization, Big Data, Pandas, Business Intelligence, Python, SciPy, Data Mining, A/B Testing, Scikit-learn"
Digital Marketing Specialist,JPMorgan Chase,"Marketing Strategy, Social Media Marketing, Email Marketing, Digital Marketing, Market Research"
Frontend Developer,ServiceNow,"CSS, HTML, TypeScript, Vue.js, Angular, JavaScript"
Data Engineer,Salesforce,"Data Warehousing, Hadoop, Python, SQL, ETL, Spark"
UX Designer,HSBC,"Figma, User Research, Wireframing, Prototyping, UI Design"
Product Manager,Meta,"Agile, User Stories, Product Strategy, Market Analysis, Roadmapping"
Digital Marketing Specialist,Visa,"SEO, Digital Marketing, Email Marketing, Marketing Strategy, Marketing Automation, Social Media Marketing"
Financial Analyst,American Express,"Accounting, Excel, Bloomberg Terminal, Risk Management, Financial Statements, Valuation, Forecasting, Budgeting, VBA"
Data Scientist,Intel,"Hadoop, Tableau, Data Warehousing, Predictive Modeling, Scikit-learn, Pandas, Big Data, Statistical Analysis"
Investment Banking Analyst,Wells Fargo,"Risk Management, Excel, Valuation, Financial Statements, VBA, Portfolio Management, Financial Planning"
Data Scientist,Uber,"Power BI, Predictive Modeling, Statistical Analysis, Spark, Machine Learning, Business Intelligence, Data Mining, SQL, Data Modeling, Tableau"
Software Engineer,Uber,"MongoDB, Machine Learning, SQL, CI/CD, Redis, Spring Boot"
Digital Marketing Specialist,Goldman Sachs,"Brand Management, Campaign Management, Marketing Analytics, Content Strategy, Google Ads, SEO, CRM, Marketing Automation, Social Media Marketing, Marketing Strategy"
Cloud Engineer,Bank of America,"AWS, Azure, Docker, GCP, Kubernetes, Terraform"
Full Stack Developer,Uber,"PostgreSQL, CI/CD, Azure, Angular, Docker, DevOps, GraphQL, Agile"
Cloud Engineer,Amazon,"Azure, Docker, GCP, Terraform, AWS, Kubernetes"
Data Analyst,Meta,"Statistics, Data Mining, Statistical Analysis, Data Modeling, Hadoop, Pandas, Power BI, Business Intelligence, NumPy, SciPy"
Digital Marketing Specialist,Oliver Wyman,"Marketing Strategy, Brand Management, CRM, Campaign Management, Marketing Analytics, Content Marketing, Digital Marketing, Content Strategy, Google Analytics, Social Media Marketing"
Project Manager,Meta,"Project Planning, Scrum, Stakeholder Management, Risk Management, Agile"
Investment Banking Analyst,Citigroup,"Forecasting, Budgeting, Portfolio Management, Risk Management, Financial Planning, Excel, M&A"
Full Stack Developer,Adobe,"Docker, CI/CD, Git, Vue.js, PyTorch, AWS, SQL, Elasticsearch, Angular, GraphQL"
Investment Banking Analyst,Charles Schwab,"Business Analysis, M&A, Financial Modeling, Portfolio Management, SQL, Investment Banking, Financial Statements"
DevOps Engineer,VMware,"CI/CD, Docker, AWS, Linux, Jenkins, Kubernetes, Ansible"
Product Manager,Citigroup,"Product Strategy, Roadmapping, Market Analysis, User Stories, Agile"
Backend Developer,Square,"Node.js, Java, MongoDB, Redis, SQL, Python, APIs"
Software Engineer,Workday,"Docker, Spring Boot, Java, HTML, Node.js, PostgreSQL"
Backend Developer,Meta,"Python, APIs, MongoDB, Node.js, Redis, Java"
Software Engineer,Databricks,"Kubernetes, CSS, Docker, Ansible, Elasticsearch, Git, Node.js, Redis, Azure"
Product Manager,Goldman Sachs,"Roadmapping, User Stories, Agile, Market Analysis, Product Strategy"
Frontend Developer,Square,"React, Vue.js, JavaScript, CSS, Angular, HTML"
Frontend Developer,IBM,"CSS, TypeScript, React, Vue.js, Angular, HTML, JavaScript"
Data Scientist,Databricks,"Hadoop, Statistical Analysis, Machine Learning, R, Statistics, Big Data, Pandas, Predictive Modeling, A/B Testing, Tableau"
Business Development Manager,Uber,"Market Analysis, CRM, Negotiation, Sales, Partnership Building"
Business Development Manager,Square,"CRM, Market Analysis, Sales, Negotiation, Partnership Building"
Financial Analyst,Visa,"Valuation, Quickbooks, Financial Reporting, Accounting, Financial Planning, Financial Statements"
UX Designer,Morgan Stanley,"Prototyping, User Research, Wireframing, Figma, UI Design"
DevOps Engineer,Uber,"Docker, Linux, Kubernetes, CI/CD, Jenkins, Ansible, AWS"
Financial Analyst,BlackRock,"Financial Planning, VBA, M&A, Financial Statements, Portfolio Management, Financial Analysis, Bloomberg Terminal, Business Analysis"
Machine Learning Engineer,JPMorgan Chase,"Python, PyTorch, Machine Learning, TensorFlow, Deep Learning"
Financial Analyst,Fidelity,"VBA, Financial Planning, SQL, M&A, Valuation, Forecasting, Investment Banking, Risk Management, Financial Analysis"
Cloud Engineer,Snowflake,"AWS, Kubernetes, Docker, Azure, Terraform"
Data Analyst,Meta,"Statistical Analysis, Pandas, Data Modeling, Data Warehousing, Spark, NumPy"
Financial Analyst,Bank of America,"Accounting, Financial Planning, Financial Reporting, Capital Markets, Investment Banking"
Machine Learning Engineer,Apple,"TensorFlow, Machine Learning, Deep Learning, Python, PyTorch"
Backend Developer,IBM,"APIs, SQL, Redis, Java, MongoDB, Python"
Software Engineer,Uber,"Ansible, Machine Learning, Jenkins, HTML, REST APIs, Linux, Docker, Redis, MongoDB"
Senior Software Engineer,Netflix,"JavaScript, TensorFlow, Kubernetes, Git, CI/CD, Node.js"
Marketing Manager,KPMG,"Google Analytics, Brand Management, Social Media Marketing, Campaign Management, Google Ads, Marketing Analytics, SEO"
Project Manager,Uber,"Project Planning, Agile, Risk Management, Scrum, Stakeholder Management"
DevOps Engineer,Google,"Kubernetes, CI/CD, Ansible, Linux, Docker, Jenkins, AWS"
Investment Banking Analyst,Fidelity,"Portfolio Management, Investment Banking, Financial Statements, Risk Management, Excel, Financial Reporting, Bloomberg Terminal"
Senior Software Engineer,VMware,"Elasticsearch, GraphQL, Java, REST APIs, React, SQL"
Business Analyst,Boston Consulting Group,"Business Intelligence, Data Analysis, SQL, Tableau, Excel"
Project Manager,McKinsey,"Agile, Project Planning, Risk Management, Scrum, Stakeholder Management"
Senior Software Engineer,Databricks,"PostgreSQL, Machine Learning, Kubernetes, Git, Angular, Azure, Elasticsearch"
Data Engineer,Oracle,"Data Warehousing, SQL, Python, Hadoop, Spark, ETL"
Frontend Developer,Uber,"React, TypeScript, HTML, Vue.js, Angular, CSS, JavaScript"
Investment Banking Analyst,Citigroup,"Quickbooks, Financial Statements, VBA, Business Analysis, Valuation, Financial Reporting, Capital Markets, M&A, Investment Banking"
Software Engineer,Apple,"Microservices, Machine Learning, Kubernetes, REST APIs, Elasticsearch"
Project Manager,ServiceNow,"Project Planning, Scrum, Stakeholder Management, Agile, Risk Management"
UX Designer,HSBC,"Prototyping, Wireframing, UI Design, Figma, User Research"
Data Engineer,Google,"Spark, SQL, Hadoop, ETL, Data Warehousing"
Investment Banking Analyst,Capital One,"SQL, Bloomberg Terminal, Excel, Financial Reporting, Business Analysis, VBA, Quickbooks"
Software Engineer,Apple,"Kubernetes, DevOps, Agile, MongoDB, Node.js, TypeScript, PostgreSQL"
Marketing Manager,IBM,"Google Analytics, Campaign Management, Social Media Management, Marketing Strategy, SEO, Content Marketing, Marketing Automation, Digital Marketing, Social Media Marketing, Copywriting"
Backend Developer,Adobe,"Node.js, Redis, MongoDB, APIs, Java, SQL"
Investment Banking Analyst,Capital One,"Excel, SQL, Quickbooks, Financial Planning, Financial Statements"
Business Analyst,Oliver Wyman,"Tableau, Business Intelligence, Excel, Data Analysis, SQL"
Full Stack Developer,Airbnb,"MongoDB, JavaScript, CI/CD, DevOps, React"
Data Analyst,Twitter,"Pandas, A/B Testing, Power BI, Data Visualization, NumPy"
Data Scientist,Amazon,"Tableau, Business Intelligence, Statistical Analysis, Spark, Data Analysis, Power BI"
Data Engineer,Adobe,"Spark, SQL, Python, Hadoop, Data Warehousing, ETL"
Investment Banking Analyst,HSBC,"Risk Management, Financial Planning, Business Analysis, Financial Reporting, Budgeting, Quickbooks"
Senior Software Engineer,Amazon,"TensorFlow, Python, GraphQL, Git, SQL, MongoDB, Agile, Linux"
Financial Analyst,Goldman Sachs,"Investment Banking, Financial Modeling, Financial Reporting, Valuation, Financial Planning, Portfolio Management, Financial Statements, SQL, VBA"
DevOps Engineer,Adobe,"CI/CD, Docker, Kubernetes, Ansible, AWS, Linux"
Financial Analyst,Deutsche Bank,"Financial Reporting, M&A, Business Analysis, Risk Management, Capital Markets, Investment Banking"
Backend Developer,Databricks,"Python, APIs, MongoDB, Node.js, Redis"
Marketing Manager,Twitter,"Content Marketing, Email Marketing, Marketing Strategy, SEO, CRM, Marketing Analytics, Google Ads, Digital Marketing, Adobe Creative Suite, Copywriting"
Data Scientist,Amazon,"Data Warehousing, Machine Learning, Data Mining, ETL, SQL, Tableau, Big Data"
Machine Learning Engineer,Snowflake,"PyTorch, Machine Learning, Deep Learning, TensorFlow, Python"
Data Engineer,Intel,"Spark, Python, ETL, Hadoop, Data Warehousing, SQL"
Data Scientist,ServiceNow,"SciPy, Scikit-learn, Tableau, Excel, Predictive Modeling, Hadoop, Power BI, Big Data, Business Intelligence"
Data Scientist,Workday,"Excel, Power BI, Data Visualization, Data Warehousing, Statistical Analysis"
Digital Marketing Specialist,Atlassian,"Copywriting, Marketing Strategy, Adobe Creative Suite, Marketing Automation, Social Media Marketing, Social Media Management, Email Marketing, CRM"
Backend Developer,Atlassian,"Java, SQL, APIs, Node.js, Python"
Frontend Developer,Cisco,"CSS, Angular, HTML, JavaScript, Vue.js, TypeScript, React"
DevOps Engineer,Salesforce,"Jenkins, CI/CD, AWS, Docker, Linux, Ansible, Kubernetes"
Business Development Manager,Meta,"Partnership Building, CRM, Negotiation, Sales, Market Analysis"
Project Manager,Deloitte,"Risk Management, Agile, Stakeholder Management, Project Planning, Scrum"
Business Analyst,McKinsey,"Data Analysis, SQL, Excel, Business Intelligence, Tableau"
Backend Developer,Stripe,"MongoDB, Redis, APIs, Java, SQL"
Product Manager,Mastercard,"Market Analysis, User Stories, Agile, Roadmapping, Product Strategy"
Full Stack Developer,Amazon,"Ansible, PostgreSQL, MongoDB, Python, Angular, Docker, Kubernetes, CSS, HTML, TypeScript"
DevOps Engineer,Apple,"Kubernetes, Docker, Ansible, AWS, CI/CD, Jenkins, Linux"
Data Analyst,VMware,"Data Mining, Statistical Analysis, Big Data, Statistics, Hadoop, Tableau, Business Intelligence, Power BI, Pandas, Data Visualization"
Marketing Manager,Deloitte,"Adobe Creative Suite, Campaign Management, Content Strategy, Digital Marketing, SEO, Email Marketing"
Data Analyst,Microsoft,"Statistical Analysis, NumPy, Python, Data Analysis, ETL, Hadoop, Data Mining, Machine Learning"
Machine Learning Engineer,IBM,"Deep Learning, PyTorch, Machine Learning, TensorFlow, Python"
UX Designer,Booz Allen Hamilton,"UI Design, Figma, User Research, Wireframing, Prototyping"
Business Development Manager,Cisco,"Partnership Building, Market Analysis, CRM, Sales, Negotiation"
Data Engineer,Uber,"Python, ETL, Hadoop, Spark, Data Warehousing, SQL"
Frontend Developer,Twitter,"CSS, React, HTML, Vue.js, Angular, JavaScript, TypeScript"
Senior Software Engineer,Workday,"React, Git, CI/CD, TypeScript, Kubernetes, DevOps, SQL, Node.js, HTML, Spring Boot"
Investment Banking Analyst,Deutsche Bank,"Budgeting, Business Analysis, Capital Markets, Excel, M&A, Financial Analysis, Valuation, Risk Management, Accounting"
Cloud Engineer,Stripe,"AWS, Terraform, GCP, Azure, Kubernetes, Docker"
Financial Analyst,Deutsche Bank,"Excel, Bloomberg Terminal, Capital Markets, Accounting, Investment Banking, Forecasting, Financial Modeling, Financial Planning, Financial Reporting"
Digital Marketing Specialist,PwC,"Marketing Analytics, SEO, Google Ads, Content Marketing, Social Media Management, Copywriting, Email Marketing, Google Analytics, Campaign Management, Market Research"
Data Scientist,Microsoft,"ETL, Predictive Modeling, Power BI, Tableau, Data Warehousing, Python, Data Analysis, Statistical Analysis, Business Intelligence, Data Modeling"
Business Development Manager,EY,"Sales, Partnership Building, CRM, Market Analysis, Negotiation"
Full Stack Developer,Intel,"Jenkins, Python, PostgreSQL, Kubernetes, REST APIs, Vue.js, Machine Learning, Elasticsearch"
Data Engineer,Google,"Hadoop, Data Warehousing, SQL, ETL, Spark, Python"
Business Development Manager,Fidelity,"Sales, Negotiation, CRM, Partnership Building, Market Analysis"
UX Designer,Accenture,"User Research, Prototyping, UI Design, Wireframing, Figma"
Senior Software Engineer,Meta,"Linux, PostgreSQL, CI/CD, TensorFlow, REST APIs, HTML"
Data Engineer,ServiceNow,"Data Warehousing, Python, Spark, ETL, SQL"
Senior Software Engineer,Amazon,"Java, Angular, REST APIs, PostgreSQL, Kubernetes, Agile, Docker, Spring Boot, HTML"
Data Engineer,Apple,"SQL, Hadoop, ETL, Data Warehousing, Python, Spark"
DevOps Engineer,Cisco,"Kubernetes, AWS, Ansible, CI/CD, Docker, Jenkins, Linux"
Backend Developer,Airbnb,"SQL, APIs, Redis, Java, Node.js, Python"
Backend Developer,Google,"APIs, MongoDB, Python, Java, SQL"
Marketing Manager,Visa,"Digital Marketing, SEO, Marketing Automation, Campaign Management, Brand Management"
Data Analyst,LinkedIn,"Data Warehousing, Predictive Modeling, Business Intelligence, SQL, Tableau, Data Visualization, Data Modeling, SciPy, Data Mining"
Frontend Developer,Google,"React, Angular, JavaScript, CSS, TypeScript"
Senior Software Engineer,LinkedIn,"Elasticsearch, TypeScript, Machine Learning, AWS, PyTorch, DevOps, Azure, React, Jenkins, Redis"
Digital Marketing Specialist,Salesforce,"Content Marketing, Market Research, Content Strategy, Google Analytics, Marketing Analytics, Social Media Marketing, Campaign Management, Marketing Automation, Adobe Creative Suite"
Data Analyst,Atlassian,"Data Mining, Big Data, Python, Machine Learning, ETL, Pandas"
Marketing Manager,Oliver Wyman,"Email Marketing, Brand Management, Digital Marketing, Content Strategy, Marketing Analytics, CRM, Copywriting, Campaign Management"
Frontend Developer,Oracle,"HTML, CSS, Vue.js, Angular, JavaScript, TypeScript, React"
Frontend Developer,Airbnb,"HTML, React, TypeScript, CSS, JavaScript, Angular, Vue.js"
Data Engineer,VMware,"ETL, Hadoop, Python, SQL, Spark, Data Warehousing"
Business Analyst,Oliver Wyman,"Business Intelligence, Tableau, Excel, Data Analysis, SQL"
Cloud Engineer,Accenture,"AWS, Kubernetes, Azure, Terraform, Docker, GCP"
Project Manager,Charles Schwab,"Project Planning, Risk Management, Stakeholder Management, Agile, Scrum"
Frontend Developer,IBM,"Vue.js, CSS, JavaScript, HTML, TypeScript"
Digital Marketing Specialist,Visa,"Google Ads, Content Marketing, Adobe Creative Suite, Social Media Marketing, Digital Marketing"
Full Stack Developer,Salesforce,"Java, Agile, HTML, Vue.js, Ansible, Elasticsearch, PyTorch, MongoDB, CSS"
Senior Software Engineer,Apple,"Machine Learning, Node.js, CI/CD, Azure, MongoDB, Git, TensorFlow, AWS"
Cloud Engineer,Cisco,"Docker, AWS, Azure, GCP, Kubernetes"
Project Manager,HSBC,"Scrum, Project Planning, Agile, Risk Management, Stakeholder Management"
Business Development Manager,Netflix,"Sales, Partnership Building, Negotiation, Market Analysis, CRM"
Software Engineer,Square,"Elasticsearch, Machine Learning, Kubernetes, MongoDB, Ansible, React, Spring Boot, Linux"
Product Manager,Citigroup,"Agile, Product Strategy, Roadmapping, User Stories, Market Analysis"
Investment Banking Analyst,American Express,"Financial Planning, Investment Banking, Financial Reporting, Valuation, Quickbooks, Financial Analysis, Risk Management, Bloomberg Terminal, Budgeting"
Investment Banking Analyst,HSBC,"Quickbooks, M&A, Investment Banking, Financial Statements, Forecasting, Budgeting, Financial Analysis, Accounting, Financial Reporting, Portfolio Management"
Investment Banking Analyst,Citigroup,"Accounting, Risk Management, Financial Reporting, Financial Statements, M&A, SQL, Financial Analysis, Financial Modeling, Investment Banking"
Project Manager,Salesforce,"Stakeholder Management, Scrum, Project Planning, Risk Management, Agile"
Machine Learning Engineer,Fidelity,"PyTorch, Deep Learning, TensorFlow, Python, Machine Learning"
UX Designer,Fidelity,"UI Design, Figma, Wireframing, User Research, Prototyping"
Investment Banking Analyst,Wells Fargo,"Budgeting, Financial Modeling, Accounting, Business Analysis, M&A, Capital Markets, Financial Reporting, SQL, Financial Analysis"
UX Designer,Fidelity,"UI Design, Prototyping, User Research, Figma, Wireframing"
Marketing Manager,Square,"Content Strategy, Market Research, Brand Management, Digital Marketing, Marketing Analytics, Marketing Automation, Google Analytics, Google Ads"
Machine Learning Engineer,Intel,"Machine Learning, PyTorch, Deep Learning, TensorFlow, Python"
Product Manager,Booz Allen Hamilton,"Market Analysis, Product Strategy, Agile, Roadmapping, User Stories"
Marketing Manager,Visa,"Social Media Marketing, Email Marketing, Content Marketing, Market Research, Campaign Management, Google Ads, Brand Management"
Financial Analyst,Morgan Stanley,"Financial Analysis, Quickbooks, Financial Statements, Capital Markets, Excel"
Cloud Engineer,BlackRock,"Docker, Terraform, GCP, Azure, Kubernetes"
Full Stack Developer,Twitter,"Spring Boot, AWS, Jenkins, Microservices, CSS, Docker, JavaScript, Angular"
Business Development Manager,Citigroup,"Sales, CRM, Negotiation, Market Analysis, Partnership Building"
Machine Learning Engineer,Square,"PyTorch, Python, Deep Learning, Machine Learning, TensorFlow"
Data Scientist,Twitter,"Data Analysis, SQL, Python, Pandas, R, Predictive Modeling, Power BI, Tableau"
Data Engineer,Airbnb,"Hadoop, Data Warehousing, Python, Spark, ETL, SQL"
Marketing Manager,Fidelity,"CRM, Brand Management, Google Ads, Social Media Management, Content Marketing, Marketing Strategy, Market Research, Social Media Marketing, Adobe Creative Suite"
Frontend Developer,Adobe,"TypeScript, CSS, Vue.js, JavaScript, HTML, Angular, React"
Investment Banking Analyst,Wells Fargo,"Financial Planning, Financial Modeling, Bloomberg Terminal, Portfolio Management, Investment Banking, M&A, Financial Analysis"
Business Development Manager,Oracle,"Market Analysis, Partnership Building, CRM, Sales, Negotiation"
Data Engineer,Meta,"Spark, Hadoop, Python, Data Warehousing, ETL, SQL"
Data Analyst,Salesforce,"Python, SciPy, Spark, Hadoop, NumPy, R, Predictive Modeling, Data Visualization, Data Modeling"
Project Manager,Accenture,"Stakeholder Management, Risk Management, Agile, Scrum, Project Planning"
DevOps Engineer,Square,"Ansible, AWS, CI/CD, Docker, Jenkins, Linux, Kubernetes"
Software Engineer,LinkedIn,"REST APIs, React, JavaScript, Linux, Java, HTML, Jenkins, Redis"
Marketing Manager,Accenture,"Adobe Creative Suite, Marketing Analytics, Content Marketing, Social Media Management, CRM, Campaign Management, Social Media Marketing, Copywriting, Content Strategy, Brand Management"
Machine Learning Engineer,Square,"Python, PyTorch, TensorFlow, Machine Learning, Deep Learning"
Frontend Developer,Salesforce,"Angular, TypeScript, React, CSS, Vue.js, JavaScript"
Investment Banking Analyst,Charles Schwab,"Capital Markets, Financial Statements, Business Analysis, Valuation, Bloomberg Terminal, Financial Analysis, Excel, Budgeting"
Frontend Developer,Databricks,"TypeScript, Angular, JavaScript, HTML, Vue.js, React, CSS"
Frontend Developer,LinkedIn,"JavaScript, TypeScript, Angular, CSS, React"
Data Engineer,Atlassian,"ETL, Python, Spark, Hadoop, Data Warehousing, SQL"
Backend Developer,Square,"APIs, Redis, SQL, Python, Java, Node.js"
Project Manager,JPMorgan Chase,"Scrum, Project Planning, Stakeholder Management, Agile, Risk Management"
Software Engineer,LinkedIn,"Vue.js, JavaScript, Ansible, REST APIs, React, PyTorch, Azure, Git, Spring Boot"
Cloud Engineer,Oliver Wyman,"AWS, Azure, GCP, Docker, Terraform, Kubernetes"
DevOps Engineer,IBM,"CI/CD, Ansible, Docker, Jenkins, Linux, AWS, Kubernetes"
Frontend Developer,ServiceNow,"HTML, JavaScript, React, Angular, CSS, TypeScript, Vue.js"
Business Analyst,Accenture,"Data Analysis, Tableau, SQL, Excel, Business Intelligence"
Senior Software Engineer,Databricks,"HTML, CSS, MongoDB, CI/CD, Java, Elasticsearch, Agile, Microservices, Linux, SQL"
Senior Software Engineer,Salesforce,"Machine Learning, Azure, Angular, Java, PostgreSQL, Microservices, Linux"
Backend Developer,Amazon,"Redis, Node.js, MongoDB, Java, APIs"
Backend Developer,Amazon,"Redis, Node.js, Java, APIs, Python, MongoDB, SQL"
DevOps Engineer,Uber,"Ansible, CI/CD, Linux, Docker, Kubernetes, AWS, Jenkins"
Digital Marketing Specialist,Intel,"Market Research, Email Marketing, Marketing Analytics, Campaign Management, Marketing Strategy, Content Marketing, Copywriting, Content Strategy, Digital Marketing"
UX Designer,Oracle,"Wireframing, UI Design, User Research, Prototyping, Figma"
Data Engineer,Amazon,"Python, ETL, SQL, Data Warehousing, Spark"
Full Stack Developer,Adobe,"Git, PostgreSQL, TensorFlow, AWS, Elasticsearch, TypeScript, Machine Learning, Microservices"
Investment Banking Analyst,Citigroup,"Quickbooks, Financial Statements, Bloomberg Terminal, Excel, M&A, Valuation, SQL, Investment Banking, Risk Management, Forecasting"
Product Manager,Uber,"Product Strategy, Market Analysis, Agile, Roadmapping, User Stories"
Investment Banking Analyst,American Express,"Excel, Budgeting, Financial Statements, Investment Banking, Financial Modeling, Valuation, Forecasting"
Investment Banking Analyst,American Express,"Budgeting, Portfolio Management, Forecasting, Financial Reporting, Bloomberg Terminal, M&A, Quickbooks, Financial Statements"
Cloud Engineer,Airbnb,"Azure, Kubernetes, Docker, AWS, Terraform, GCP"
Business Analyst,Booz Allen Hamilton,"Business Intelligence, Data Analysis, Excel, SQL, Tableau"
Software Engineer,Adobe,"CSS, PostgreSQL, Machine Learning, AWS, Python, TensorFlow, Linux, REST APIs, Java"
DevOps Engineer,Stripe,"Ansible, Kubernetes, CI/CD, Jenkins, Linux"
Data Analyst,Uber,"SciPy, Power BI, Data Visualization, R, Statistical Analysis, Statistics, Hadoop, A/B Testing"
Machine Learning Engineer,McKinsey,"TensorFlow, PyTorch, Machine Learning, Deep Learning, Python"
Business Analyst,McKinsey,"Excel, SQL, Business Intelligence, Data Analysis, Tableau"
Business Analyst,KPMG,"Business Intelligence, SQL, Data Analysis, Excel, Tableau"
Financial Analyst,Vanguard,"Quickbooks, Risk Management, Business Analysis, Financial Modeling, Budgeting, VBA, Excel, Accounting, Investment Banking"
Financial Analyst,State Street,"Budgeting, Risk Management, Forecasting, Financial Reporting, Business Analysis"
Business Analyst,KPMG,"Business Intelligence, Tableau, Excel, SQL, Data Analysis"
Project Manager,Oracle,"Project Planning, Agile, Risk Management, Stakeholder Management, Scrum"
Business Analyst,Booz Allen Hamilton,"Data Analysis, SQL, Excel, Business Intelligence, Tableau"
Senior Software Engineer,Netflix,"Machine Learning, Linux, CI/CD, GraphQL, CSS, REST APIs, Angular"
Digital Marketing Specialist,Workday,"CRM, Marketing Automation, Content Strategy, SEO, Google Analytics"
Software Engineer,Google,"Linux, Node.js, GraphQL, Agile, Kubernetes, CSS, Git, Vue.js"
Investment Banking Analyst,Mastercard,"Business Analysis, Financial Planning, Financial Analysis, Excel, Accounting, Valuation, Investment Banking"
Financial Analyst,State Street,"Budgeting, Financial Planning, Quickbooks, Forecasting, Financial Reporting, Investment Banking, Financial Modeling, M&A, Capital Markets, Excel"
Financial Analyst,Deutsche Bank,"Financial Statements, Business Analysis, Risk Management, SQL, Bloomberg Terminal, Valuation, Quickbooks, Forecasting, Excel"
UX Designer,HSBC,"User Research, Prototyping, UI Design, Wireframing, Figma"
Backend Developer,Salesforce,"Node.js, APIs, Java, Redis, Python, MongoDB, SQL"
Senior Software Engineer,Oracle,"Java, CSS, DevOps, Redis, React, JavaScript, Git, TypeScript, Python, Elasticsearch"
UX Designer,Twitter,"Figma, Wireframing, User Research, UI Design, Prototyping"
Project Manager,EY,"Scrum, Agile, Risk Management, Project Planning, Stakeholder Management"
Data Analyst,Airbnb,"SciPy, Business Intelligence, Tableau, Data Analysis, NumPy, Data Visualization, Data Warehousing, A/B Testing, Pandas"
Cloud Engineer,Cisco,"Docker, Kubernetes, Azure, Terraform, GCP, AWS"
Data Engineer,Amazon,"Hadoop, Spark, ETL, Python, Data Warehousing, SQL"
Data Scientist,Amazon,"Pandas, Data Mining, Spark, Business Intelligence, ETL"
Marketing Manager,Mastercard,"Marketing Analytics, CRM, Google Analytics, Content Marketing, Brand Management, Campaign Management, Digital Marketing"
Senior Software Engineer,Microsoft,"Vue.js, Machine Learning, SQL, TensorFlow, Redis, HTML"
Business Development Manager,Capital One,"Sales, Negotiation, Partnership Building, Market Analysis, CRM"
Data Engineer,Stripe,"Python, SQL, Data Warehousing, ETL, Spark, Hadoop"
UX Designer,Cisco,"User Research, Figma, Wireframing, Prototyping, UI Design"
Marketing Manager,Deutsche Bank,"SEO, Content Marketing, Google Analytics, Social Media Management, Adobe Creative Suite, Market Research, Marketing Analytics, Google Ads"
Marketing Manager,Google,"Marketing Strategy, Marketing Analytics, Marketing Automation, Brand Management, Google Analytics, Market Research, Google Ads"
Software Engineer,Databricks,"HTML, CI/CD, TypeScript, GraphQL, Microservices, MongoDB"
Financial Analyst,Bank of America,"Financial Modeling, M&A, Forecasting, Capital Markets, VBA, Financial Reporting, Investment Banking, Bloomberg Terminal, Portfolio Management"
Data Analyst,Salesforce,"ETL, Spark, Hadoop, Data Mining, R, Big Data, Statistics, Statistical Analysis"
DevOps Engineer,Databricks,"Kubernetes, CI/CD, Linux, Docker, Jenkins, AWS"
Full Stack Developer,Workday,"HTML, Git, TypeScript, JavaScript, DevOps, Redis, GraphQL, Angular, Kubernetes, CSS"
Business Development Manager,Cisco,"CRM, Negotiation, Sales, Market Analysis, Partnership Building"
Frontend Developer,Workday,"CSS, React, TypeScript, Vue.js, Angular, HTML, JavaScript"
